,FamilyName,FamilyNameDescription,GeneralGenusAndDescription,Genus,Epithet,LebanonLocations,SyrianLocations
0,0,0,0,0,0,0,0
1,LYCOPODIACEAE,"Plantes homosporées, à gamétophyte libre, généralement massif. Sporophyteherbacé, suffrutescent dans notre espèce.Lycopodium cernuum L. var. capillaceum Willd (PI. I, n. 1). — 2J.. Tigescouchées radicantes, à ramification dichotomique, d'un blanc verdâtre, couvertesde feuilles densément et irrégulièrement disposées, très fines, arquées, de 2 à 3 mm.de long. Sporanges groupés en épis terminaux très ramassés au sommet de ra-meaux entièrement feuilles. Dimensions de la plante très variables, vu son aptitudeà proliférer à partir des points d'enracinement.Fructification de novembre à mars. Sur grès très humides.L. Mi. Entre Nahr es Safa et 'Aïn Qa'a, 1942 et 1946 (Mt), dans une légère dépressionhumide. — Grès humides et suintants au-dessus d'une source, sous Broummana, 1951 à 1954 (Mt).— Vallon très étroit au nord de Beit Chébab, 27.III.1890. Leg. A. Torrend (dans HerbierVincent). Les deux stations de Nahr Safa et Broummana semblent s'être entièrement éteintes, etcelle de Beit Chébab n'a pas été retrouvée. Il se pourrait donc que cette espèce n'existe plus au Liban.Aire géogr. —- Régions tropicales et subtropicales des deux Mondes. Ne paraît pas avoir étéjusqu'ici rencontrée au Moyen-Orient, en Iran et en Afrique du Nord.LEPIDOSPERMALESSELAGINELLACEAEPlantes hétérosporées. Tige à ramification monopodique ou dichotomique.Feuilles ligulées. Sporanges axillaires, à l'aisselle de sporophylles non différenciées.Prothalles très réduits, inclus dans les spores, mais sans continuité histologiqueavec les tissus de la plante-mère.Flore — Il ",0,0,0,0,0
2,0,0,0,Selaginella,denticulata,0,0
3,0,0,0,0,0,"L. Ct. et ML, Ce. Saïda (Bl), Beyrouth et environs (Mt), Nahr el Kelb (Pb), Nahr Ibra-him (Mt), Ras Chekka-Hamate (Wall), Broummana (Bnm), Moukhtara (P), Salima (Bl), Ghazir(Vt, Mt), Tripoli (Bl). 'Akkar. Base du, Jabal 'Aqroum (Pb).",0
4,ISOETACEAE,"Plantes hétérosporées, à feuilles linéaires, ligulées, et sporanges immergés dansla base dilatée de la feuille. Tiges constituées par le sommet d'un rhizome court,bulbiforme. Aquatiques ou amphibies, ou terrestres sur lieux très humides. Basesdes feuilles souvent persistantes et durcies (phyllopodes).Feuilles de 5-25 cm, à voile complet. PhyUgpodes parfois présents, mais très réduits/. hystrix Dur. forma subinermis Dur.Feuilles 2-5 cm. Voile incomplet. Pas de phyllopodes/. olympica A. Br.Isoetes hystrix Dur., forma subinermis Dur. (PL I, n. 3). —¾. Rhizomeplus ou moins nettement trilobé, entouré dans la forme-type de phyllopodesnoirs, durs, luisants, ces mêmes phyllopodes caducs, absents ou très réduits dans lavariété. Feuilles denses, dressées ou étalées, 5-25 cm., rigides, vertes ou glaucescentes.Voile complet. Macrospores blanches, à côtes anguleuses, assez épaisses, saillantes,à faces nettement tuberculeuses. Microspores brunes, verruqueuses.Sur terrains très humides, émergée. Spores au printemps.L. 'Akkar. Prairies humides au nord de la route entre Tlail et le chemin de Menges. Bordsd'un point d'eau entre Kfar Noun et Menges (Pb, Mt).S. Présence non constatée mais presque certaine, de l'autre côté de la frontière, touteproche, vers Tell Kalakh.^/7Cette plante se distingue nettement de Is. velata A. Br. par sa végétation émergée, et d'/r.duriaei Bory par ses spores. La race libanaise, très différente par son faciès de la forme-type pa-raît identique à la var. phrygia Boiss., trouvée par Balansa près d'Ouchak. Celle-ci n'est pas tenuepour distincte de subinermis par Norma E. PFEIFPER dans sa monographie du genre Isoetes (Annalsof Missouri Bot. Gard. IX, April 1922, pp. 79-322).Aire géogr. — Tour de la Méditerranée, Côte de l'Atlantique jusqu'aux Iles anglo-normandes.Isoetes olympica A. Br. (PL I, n. 4). — 21.. Rhizome trilobé, 1 cm., vêtu àla base de fibres noirâtres. Feuilles courtes, subsétacées, plus ou moins arquées,2-5 cm. Voile incomplet. Macrospores petites, blanches, à côtes proéminentes etdensément tuberculées entre les côtes. Microspores spinuleuses.Fructification au printemps. Sur terrains humides, émergée.S. J-D. Soueida-Sâlé (Sam), Tell Souocar, Fon ine des Bédouins (Mt).Aire géogr. •— Montagnes de Turquie.",0,0,0,0,0
5,EQUISETACEAE,,0,0,0,0,0
6,0,0,0,Equisetum,maximum,0,0
7,0,0,0,0,0,"L. Ct. Nahr-el-Aouali (Bl), Hazmiyé, Nahr-el-Kelb (Mt), Beyrouth (Np), Tripoli (Bl).Mi. Jba'a, 'Abey (P), 'Araya, Bikfaya (Mt). Mm. 'Aïn Zehalta (Bnm), Nahr Safa (Mt), Falougha(P), Bcharré (Bl).",0
8,0,0,0,Equisetum,palustre,0,0
9,0,0,0,0,0,"L. Ct. Nahr-el-Kelb, au niveau des grottes (Mt). Mi. Haute vallée de la même rivière sousMayrouba, Nahr Ibrahim à Janni, sous Qartaba (Mt).",0
10,0,0,0,Equisetum,ramosissimum,0,0
11,0,0,0,0,0,"L. Ct. Saïda (Bl), Beyrouth (P, Mt), Tripoli (Bl) Mi. 'Abey (P), Broummana, Bikfaya (Mt),Qrayé (Np). Mm. Jisr-el-Hajar (P), Falougha (Mt), Jab. Kneissé (P, Pb). Met. Chtaura (Wall),Ta'naïl (Mt).",0
12,OPHIOGLOSSACEAE,"Fougères parfois sans feuilles stériles, à sporophylles composées d'une partievégétative entière (genre Ophioglossum) ou non, et d'axes sporangifères simples(même genre) ou non.Ophioglossum vulgatum L. (PL I, n. 8). — 2J.. 10-40 cm. Rhizome court,portant uniquement une sporophylle, sans feuilles stériles, avec une écaille vagini-forme à la base. Partie végétative constituée par un limbe obtus, ou plus ou moinsaigu, partie fertile par un axe en forme d'épi, naissant vers le milieu, dépassantordinairement le limbe, linéaire et mucroné au sommet.Fructif. printemps-été. Lieux ombragés.S. A.L. Près de Zebdani (Ky). Non retrouvé depuis Kotschy.Aire géogr. — Europe, Asie tempérée, Afrique Nord, Amérique Nord.Ophioglossum lusitanicum L. (PL n. 9). — 2J.. 2-10 cm. Rhizome grêle, nu,portant parfois, en plus de la sporophylle et à sa base, une ou deux feuilles stériles,le tout entouré d'une gaine de débris foliaires bruns. Feuilles et sporophylles étroi-tement lancéolées. Épi linéaire, mucroné au sommet.Fructif. printemps. Grès humides.L. Ct. Tripoli (Bory selon Eig, d'après Dinsmore). Mi. Sous Beit Méri, en deux points(Mt, Np).Aire géogr. — Méditerranée surtout occidentale. Côtes de l'Atlantique, africaine et euro-péenne, Atlantides, Sainte-Hélène.OSMUMDALESOSMUNDAGEAEFrondes divisées, à pétiole élargi à la base. Sporophylles à partie végétativebipennée et partie fertile pennée, de grande taille.Osmunda regalis L. var. plumieri (Tauschpro specie) Milde (PL II, n. 1). —21. Rhizome noir, épais. Frondes pouvant atteindre 2 m., longuement pétiolées,2 fois pennées. Folioles oblongues- finement dentées (var, plumieri). Sporophyllespourvues à la base de ramifications stériles bipennées, au sommet d'une partie fertilepaniculée, à divisions presque réduites à leur rachis, couvertes de sporanges bruns.Fructifie, printemps-été. Grès et sables très humides.L. Ct. Dékouané, Bouchriyé (Mt). Mi. 'Abey (P), sous Beit Méri, Broummana (Mt), Qrayé(Np), Salima (Bl), Mayrouba (Mt). Mm. Hammana (Gaill), Falougha (Pb), 'Aïn Qa'a (Mt),'Aïn Zehalta (Bnm), Khan Sannine (Bnm), Col de Zahlé (1700 m.) (Mt).Aire géogr. — L'espèce subcosmique. Variété-pïumieri aux Açores, en Afrique du Nord, Médi-terranée orientale, Asie antérieure.",0,0,0,0,0
13,0,0,0,Gymnogramma,leptophylla,0,0
14,0,0,0,0,0,"L. Ct. Saïda (Pb), Beyrouth ce. (Mt, Np), Tripoli (Bl). Mi. 'Antoura (Pb), Moukhtara (P),Mayrouba (Wall).",0
15,0,0,0,Cheilanthes,pteridioides,0,0
16,0,0,0,0,0,"L. Ct. Beyrouth (Gaill, Bl, Vt, Np), Mkallès, Khaldé (Mt). Mi. 'Abey (P), Beit Méri (Pr),Bhannès, 'Achqout (Mt), 'Antoura (Pb). Mm. Ehden (Bl).",0
17,0,0,0,0,0,0,"S. NLatt. Aïn Haramiyé (Mt), Kessab (P, Pb), Kizil Dagh (Pb)."
18,0,0,0,0,0,"L. Ct. Nahr Beyrouth (Mt), environs de Beyrouth (Bl), Antélias (Np). Mi. Fuzur (P).",0
19,0,0,0,0,0,"L. Mm. Ehden (Bl), Neba'-l-Hadid (P), 'Aïn Geddaié (Pr), forêt de Qamou'a (Pb), Farâya(Mt). Me. Sommet du J. Kneissé (P, Th, Mt, Gb, Np), Jàb. Sannine (Pb), Foum-el-Mizhab (Mt).(Classée par DINSMORE dans l'Herbier Post sous Gymn. leptophylla. D'où l'indication fausse de laprésence de cette espèce dans le haut Liban.) . -II ne semble pas que Cyst, regia Presl ait été constatée dans nos contrées. Thiébaut, de son côté,avait cru pouvoir faire de la forme libanaise de filix-fragilis une var. asplenioides.",0
20,0,0,0,0,0,"L. Ct. Beyrouth (nombreux collecteurs), Nahr Beyrouth (Mt), Tripoli (P). Mi. Bikfaya(Vt), Salima (Bl). Mm. Ehden, Bcharré (Bl). Met. Ksara (Mt). Sud. Sous Qala'at Chekif (Pb).",0
21,0,0,0,Pteris,longifolia,0,0
22,0,0,0,0,0,"L. Ct. Saïda (P), Beyrouth (Vt), Amelias (Vt, Mt), Nahr-el-Kelb (nombreux collecteurs),Tripoli (Bl, P). Mi. 'Abey (P), Ghazir (Mt). •",0
23,0,0,0,Pteridium,aquilmum,0,0
24,0,0,0,0,0,"L. Ct. Dékouané (Mt). Mi. 'Abey (P), Bikfaya (Bl), Mrouj, Mayrouba (Mt), Maghdouché,Salima (Bl), 'Araya (Mt). Mm. 'Aïn Saoua'ir, Jabal Qamou'a (Mt). 'Akkar. Qpubbayat (Bl).",0
