,FamilyName,FamilyNameDescription,GeneralGenusAndDescription,Genus,Epithet,LebanonLocations,SyrianLocations
0,0,0,0,0,0,0,0
1,ERICACEAE,"Famille comprenant surtout des sous-arbrisseaux, des arbrisseaux et desarbustes, plus rarement des arbres de forte taille ou des plantes epiphytes. Feuillesalternes, opposées ou verticillées, généralement persistantes. Inflorescence en grappes,plus rarement en capitules, ou fleurs toutes solitaires. Fleurs ordinairement àdeux préfeuilles, soit régulières, soit fortement zygomorphes, le plus souvent herma-phrodites. Calice plus ou moins gamosépale, parfois persistant. Corolle habituelle-ment gamopétale, rarement libre. Étamines libres, rarement unies. Anthères habi-tuellement appendiculées. Disque intrastaminal. Gynécée supère ou infère. Fruitbacciforme, drupacé ou capsulaire. Graines très petites.",0,0,0,0,0
2,0,0,0,Rhododendron,ponticum,0,0
3,0,0,0,0,0,"L. Mi.-Mm. «In arenosis ferrugineis Libani subalpini (Lab), in monte Sannin (Ehrenb), in valleHammana (Mart) », Broummana (Bl, Vt, Nab, Sam, Mt, Pb), Mayrouba, Salima (Sam, Mt, Pb),Bikfaya, Dhour Choueir (Bl, Vt, Sam, Gb, Mt, Pb), vers Khan Sannine (Ehrenb, Vt, Mt), grèsentre le Col de Zahlé et la base du Sannine (Mt, Pb), grès vers 'Aïn Zhalta, Neba Safa (Bnm,Mt, Pb), Qrayé (Np).",0
4,0,0,"ARBUTUS L. — Arbustes ou arbres. Galice à cinq lobes. Corolle ovée ouglobuleuse-urcéolée, à cinq dents. Étamines 10, insérées sur le disque hypogyne.",0,0,0,0
5,0,0,0,Arbutus,unedo,0,0
6,0,0,0,0,0,"L. Mi. Pinèdes au nord de Beyrouth, sous Beit Méri et Broummana (P, Vt, Bnm, Mt, Pb).",0
7,0,0,0,Arbutus,andrachne,0,0
8,0,0,0,0,0,"L. Ct. Environs de Beyrouth (P, Vt, Mt). Mi. Au-dessus de Jall-ed-Dib (Mt), 'Antoura,Bikfaya (Pb), Beit Khachbo (Mt). 'Akkar. Vers Qpubbayat (Mt).",0
9,0,0,"ERICA L. — Sous-arbrisseaux ou arbrisseaux, à feuilles étroitement linéaires,tiges et rameaux multiples, à port caractéristique. Calice à quatre sépales dis-tincts, ou, plus rarement, quadripartite. Corolle campanulée ou ovoïde-urcéolée, àlimbe quadrifide. Étamines 8, libres. Capsule à quatre valves, loculicide.",0,0,0,0
10,0,0,0,Erica,manipuliflora,0,0
11,0,0,0,0,0,"L. Grès, de 0 à 1000 m. Manque ou, peut-être, très sporadique au sud de la route Beyrouth-Damas (Baabda-Mdeirèje). Ct. Beyrouth (P), Boùchriyé (Mt). Mi. Grès sous Beit Méri et Broum-mana (P, Mt, Wall), Jamhour, Baabda (Mt), Bikfaya à Dhour Choueir et Mrouj (Gaill, Bl, Vt,Mt, Pb), N. du Nahr-el-Kelb, vers 'Antoura (Pb), et, plus haut, à 'Aïn Rihaniyé (Şam). Mm.Qprnayel (Mt), Khan Sannine (Vt).",0
12,0,0,"PENTAPERA Klotzsch — Genre distinct du.genre Erica presque exclusive-ment par son calice et sa corolle, à cinq parties, et ses étajmines au nombre de 10.",0,0,0,0
13,0,0,0,0,0,"L. Mi.-Mm., dans la vallée du Nahr Ibrahim. Gorge de la rivière, en aval des usines élec-triques (Thiéb, Gb, Mt, Pb), Balhas à Afqa (Lortet), Afqa (Mt), Ehmej (Tannous Boutros).",0
14,PRIMULACEAE,"Plantes herbacées, parfois bulbeuses ou rhizomateuses, souvent en coussinet,parfois aquatiques. Feuilles souvent toutes basales. Inflorescence racémiforme. Fleursgénéralement régulières, hermaphrodites, habituellement pentamères, rarement à 3,4, ou 7 divisions. Calice persistant, gamosépale, à 5 lobes. Corolle plus ou moinstubuleuse, parfois libre, parfois (hors de nos contrées) nulle. Étamines 5, et rare-ment, en plus, 5 staminodes épisépales. Ovaire supère ou semi-infère, formé de5 carpelles, uniloculaire. Fruit une capsule diversement déhiscente.",0,0,0,0,0
15,0,0,0,Samolus,valerandi,0,0
